CODE,NAME
UK522C1,Salford
UK523C1,Tameside
UK524C1,Trafford
UK525C1,Milton Keynes
UK525L0,Milton Keynes
UK526C1,Rochdale
UK527C1,Solihull
UK528C1,Northampton
UK528L1,Northampton
UK529C1,North Tyneside
UK530C1,Gateshead
UK531C1,Warrington
UK531L0,Warrington
UK532C1,Luton
UK532L0,Luton
TR001C1,Ankara
TR002C1,Adana
TR003C1,Antalya
TR004C1,Balıkesir
TR005C1,Bursa
TR006C1,Denizli
TR007C1,Diyarbakır
TR008C1,Edirne
TR009C1,Erzurum
TR010C1,Gaziantep
TR011C1,Hatay
TR012C1,İstanbul
TR013C1,İzmir
TR014C1,Kars
TR015C1,Kastamonu
TR016C1,Kayseri
TR017C1,Kocaeli
TR018C1,Konya
TR019C1,Malatya
TR020C1,Manisa
TR021C1,Nevşehir
TR022C1,Samsun
TR023C1,Siirt
TR024C1,Trabzon
TR025C1,Van
TR026C1,Zonguldak
AT001L2,Wien
AT002L2,Graz
AT003L2,Linz
AT004L2,Salzburg
AT005L2,Innsbruck
AT006L1,Klagenfurt
BE001L2,Bruxelles / Brussel
BE002L2,Antwerpen
BE003L2,Gent
BE004L2,Charleroi
BE005L2,Liège
BE006L2,Brugge
BE007L2,Namur
BE008L1,Leuven
BE009L1,Mons
BE010L1,Kortrijk
BE011L1,Oostende
BG001L2,Sofia
BG002L2,Plovdiv
BG003L2,Varna
BG004L2,Burgas
BG005L1,Pleven
BG006L2,Ruse
BG007L2,Vidin
BG008L2,Stara Zagora
BG009L1,Sliven
BG010L1,Dobrich
BG011L1,Shumen
BG013L1,Yambol
BG014L1,Haskovo
BG015L1,Pazardzhik
BG016L1,Blagoevgrad
BG017L1,Veliko Tarnovo
BG018L1,Vratsa
CH001L2,Zürich
CH002T1,Genève transnational LUZ
CH002L1,Genève
CH003T1,Basel transnational LUZ
CH003L1,Basel
CH004L1,Bern
CH005L1,Lausanne
CH006L1,Winterthur
CH007L1,St. Gallen
